stock_code,post_id,title,author,date,reads,replies,sector,stock_name,sector_name,title_clean,title_segmented,sentiment,sentiment_score
601360,1769373790,跌定了，准备验证.....,股友g228M07970,09-07 08:58,13,0,AI_Agent,三六零,AI Agent,跌定了，准备验证.....,跌定 准备 验证 .....,负面,-1.0
601360,1769333617,"9月6日报道，#AI办公搭子加速上岗""AI智能体正加速进入一线办公场景，越来越多重复、琐碎的工作开始交给AI完成。#ai办公搭子加速上岗#AI智能体加速进入办公场景",最新趋势讯号,09-06 06:04,9989,1,AI_Agent,三六零,AI Agent,"9月6日报道，#AI办公搭子加速上岗""AI智能体正加速进入一线办公场景，越来越多重复、琐碎的工作开始交给AI完成。#ai办公搭子加速上岗#AI智能体加速进入办公场景",报道 AI 办公 搭子 加速 上岗 AI 智能 体正 加速 进入 一线 办公 场景 越来越 重复 琐碎 工作 开始 交给 AI 完成 ai 办公 搭子 加速 上岗 AI 智能 加速 进入 办公 场景,正面,1.0
601360,1769367783,又是你猜，你猜的一天,o无中生有o,09-07 08:24,86,3,AI_Agent,三六零,AI Agent,又是你猜，你猜的一天,一天,中性,0.0
601360,1769372542,今天日本韩国股票开盘大幅上涨Al网络安大幅上涨、三六零Al大涨开始,天光照耀,09-07 08:51,30,1,AI_Agent,三六零,AI Agent,今天日本韩国股票开盘大幅上涨Al网络安大幅上涨、三六零Al大涨开始,日本 韩国 开盘 大幅 上涨 Al 网络 大幅 上涨 六零 Al 大涨 开始,正面,1.0
601360,1769371959,今天日本韩国开盘大幅上涨Al网络安全大幅上涨,天光照耀,09-07 08:48,31,0,AI_Agent,三六零,AI Agent,今天日本韩国开盘大幅上涨Al网络安全大幅上涨,日本 韩国 开盘 大幅 上涨 Al 网络安全 大幅 上涨,正面,1.0
601360,1769368312,ai新革命，会有三六零的位置？,算无的寿緸,09-07 08:28,33,0,AI_Agent,三六零,AI Agent,ai新革命，会有三六零的位置？,ai 革命 六零 位置,正面,1.0
601360,1769362758,$三六零(SH601360)$,股友信仰之道,09-07 07:29,297,1,AI_Agent,三六零,AI Agent,$三六零(SH601360)$,六零 SH601360,中性,0.0
601360,1769351608,考虑加不加入纳米AI的预测，大家觉得如何。（纳米work自制网站）,水高山低,09-06 10:54,516,8,AI_Agent,三六零,AI Agent,考虑加不加入纳米AI的预测，大家觉得如何。（纳米work自制网站）,考虑 加入 纳米 AI 预测 大家 如何 纳米 work 自制 网站,正面,1.0
601360,1769364907,星期一买卖稀，星期二…,悟_善,09-07 08:01,65,0,AI_Agent,三六零,AI Agent,星期一买卖稀，星期二…,星期一 买卖 星期二,负面,-1.0
601360,1769348595,发财了，终于炒人工智能软件了，起飞起飞360，扶摇直上九万里,鹏学士研究生博士,09-06 10:02,259,4,AI_Agent,三六零,AI Agent,发财了，终于炒人工智能软件了，起飞起飞360，扶摇直上九万里,发财 终于 人工智能 软件 起飞 起飞 360 扶摇直上 九万里,正面,1.0
601360,1769360674,大模型起飞,沉着的哥昆,09-07 06:44,39,0,AI_Agent,三六零,AI Agent,大模型起飞,模型 起飞,正面,1.0
601360,1769355307,我先把话撂在这里:全世界第一部AI电影，即将引爆国庆档/春节档，全民进电影院看5,财源滚滚敬畏之心,09-07 12:21,613,5,AI_Agent,三六零,AI Agent,我先把话撂在这里:全世界第一部AI电影，即将引爆国庆档/春节档，全民进电影院看5,这里 全世界 第一部 AI 电影 即将 引爆 国庆 春节 全民 电影院,正面,1.0
601360,1769301997,前7月软件业务收入同比增长9.2%,金山办公资讯,09-06 06:17,3482,17,AI_Agent,三六零,AI Agent,前7月软件业务收入同比增长9.2%,软件 业务收入 同比 增长 9.2%,正面,1.0
601360,1768376646,业绩说明会问了两个问题：1.周鸿祎董事长表示在大模型上不重复造轮子，360智脑也,股玄机,09-03 01:55,1187,11,AI_Agent,三六零,AI Agent,业绩说明会问了两个问题：1.周鸿祎董事长表示在大模型上不重复造轮子，360智脑也,业绩 说明会 两个 问题 周鸿祎 董事长 表示 模型 重复 轮子 360 智脑,正面,1.0
601360,1769341195,不发表多空的看法，只摆出三张图，日线、周线和月线的。从形态、周期、量柱、多个指标,股林虎王,09-06 08:10,2082,7,AI_Agent,三六零,AI Agent,不发表多空的看法，只摆出三张图，日线、周线和月线的。从形态、周期、量柱、多个指标,发表 多空 看法 摆出 三张 日线 周线 形态 周期 量柱 多个 指标,负面,-1.0
601360,1769349424,新的一周，傲天简单说说自己的看法。,天人路成傲天,09-06 10:15,447,1,AI_Agent,三六零,AI Agent,新的一周，傲天简单说说自己的看法。,一周 傲天 简单 自己 看法,中性,0.0
601360,1769351193,明后天应该有连板板。,文文文才,09-06 10:45,82,1,AI_Agent,三六零,AI Agent,明后天应该有连板板。,明后天 有连板,中性,0.0
601360,1769351057,能涨到360吗,股友r9OAxR,09-06 10:43,46,1,AI_Agent,三六零,AI Agent,能涨到360吗,能涨 360,正面,1.0
601360,1769307725,可以随时启动，但高度有限，下周或月中是节点,什么名都被占用,09-06 09:29,1995,16,AI_Agent,三六零,AI Agent,可以随时启动，但高度有限，下周或月中是节点,随时 启动 高度 有限 下周 节点,负面,-1.0
601360,1769350340,看完这个视频，真让我觉得深感震撼，我认为AGI不仅仅是第四次工业革命的高潮，更像,刀尖舞者2026,09-06 10:30,450,0,AI_Agent,三六零,AI Agent,看完这个视频，真让我觉得深感震撼，我认为AGI不仅仅是第四次工业革命的高潮，更像,这个 视频 深感 震撼 认为 AGI 不仅仅 第四次 工业革命 高潮,中性,0.0
601360,1769349340,减持股热度很高啊,信则不念,09-06 10:14,46,0,AI_Agent,三六零,AI Agent,减持股热度很高啊,持股 热度,负面,-1.0
601360,1769330481,唱空的揣着明白装糊涂，知道现在在底部，只是贪婪，想股价低了再低。,股友YYbFR9,09-06 05:10,52,1,AI_Agent,三六零,AI Agent,唱空的揣着明白装糊涂，知道现在在底部，只是贪婪，想股价低了再低。,唱空 揣着 明白 装糊涂 知道 现在 底部 贪婪 股价,负面,-1.0
601360,1769188097,三六零C端普通用户产品已经全部上线部署纳米AI搜索、AI办公、AI漫剧全部对外使,天光照耀,09-04 08:24,354,7,AI_Agent,三六零,AI Agent,三六零C端普通用户产品已经全部上线部署纳米AI搜索、AI办公、AI漫剧全部对外使,六零 普通用户 产品 已经 全部 上线 部署 纳米 AI 搜索 AI 办公 AI 漫剧 全部 对外,正面,1.0
601360,1769348222,市盈率高、散户多，难涨。,多拉大A梦,09-06 09:57,38,0,AI_Agent,三六零,AI Agent,市盈率高、散户多，难涨。,市盈率 散户 难涨,正面,1.0
601360,1769336928,美国的网络安全股，月线都已经走出一波主升浪了大A的连底都没走出来,戏说人生,09-06 07:04,203,3,AI_Agent,三六零,AI Agent,美国的网络安全股，月线都已经走出一波主升浪了大A的连底都没走出来,美国 网络安全 月线 已经 走出 一波 主升浪 连底 出来,中性,0.0
601360,1769331995,庄家还看不起这个票不要跟我说散户太多涨不起来其实干掉散户最好的手段就是连续拉伸一,股友686f769I00,09-06 05:34,126,2,AI_Agent,三六零,AI Agent,庄家还看不起这个票不要跟我说散户太多涨不起来其实干掉散户最好的手段就是连续拉伸一,庄家 看不起 这个 不要 散户 太多涨 起来 干掉 散户 最好 手段 就是 连续 拉伸,正面,1.0
601360,1769336660,下周破缺口,大神来救,09-06 06:59,75,3,AI_Agent,三六零,AI Agent,下周破缺口,下周 缺口,负面,-1.0
601360,1769262300,听说啵总来了,guzhenjun,09-05 11:29,124,3,AI_Agent,三六零,AI Agent,听说啵总来了,听说 总来,中性,0.0
601360,1769314469,GPT-6发布，AGI元年来了？对国产开源大模型、网络安全和AI细分赛道会有哪些影响,野渡无人77,09-06 11:44,3227,17,AI_Agent,三六零,AI Agent,GPT-6发布，AGI元年来了？对国产开源大模型、网络安全和AI细分赛道会有哪些影响,GPT 发布 AGI 元年 国产 开源 模型 网络安全 AI 细分 赛道 哪些 影响,正面,1.0
601360,1769345679,股吧里全是主力诱多唱多的机器人,沉着冷静的居头三,09-06 09:20,40,1,AI_Agent,三六零,AI Agent,股吧里全是主力诱多唱多的机器人,全是 主力 诱多 机器人,中性,0.0
601360,1769343691,360的图龙锋平台在比赛里直接当起了“AI裁判”,大牛资本,09-06 08:50,293,0,AI_Agent,三六零,AI Agent,360的图龙锋平台在比赛里直接当起了“AI裁判”,360 图龙锋 平台 比赛 直接 当起 AI 裁判,正面,1.0
601360,1768501664,三六零收盘点评：今天全天弱势，并且把日线macd杀翻绿，弱势翻红后又马上翻绿，是,静见万物,09-03 04:47,2534,26,AI_Agent,三六零,AI Agent,三六零收盘点评：今天全天弱势，并且把日线macd杀翻绿，弱势翻红后又马上翻绿，是,六零 收盘 点评 全天 弱势 并且 日线 macd 弱势 翻红 马上 翻绿,中性,0.0
601360,1769327514,GPT-6系列1：GPT-6炸场，通用人工智能（AGI）时代的曙光,野渡无人77,09-06 04:16,1976,1,AI_Agent,三六零,AI Agent,GPT-6系列1：GPT-6炸场，通用人工智能（AGI）时代的曙光,GPT 系列 GPT 炸场 通用 人工智能 AGI 时代 曙光,正面,1.0
601360,1769339352,先炒硬件——热门硬件都炒到每股1000元以上了。再炒软件——软件先炒应用，然后才,戏说人生,09-06 07:42,136,2,AI_Agent,三六零,AI Agent,先炒硬件——热门硬件都炒到每股1000元以上了。再炒软件——软件先炒应用，然后才,硬件 热门 硬件 每股 1000 以上 软件 软件 应用,中性,0.0
601360,1769320849,无论是走势图形来看，还是基本面情况分析，三六零股价数年的大低即将形成，随着AI人,新的感觉6688,09-06 02:06,294,3,AI_Agent,三六零,AI Agent,无论是走势图形来看，还是基本面情况分析，三六零股价数年的大低即将形成，随着AI人,无论是 走势 图形 来看 基本面 情况 分析 六零 股价 数年 大低 即将 形成 随着 AI,正面,1.0
601360,1769321924,软件股类似于st股票，没业绩没成长性,ybyszyxdhcwxg,09-06 02:30,66,4,AI_Agent,三六零,AI Agent,软件股类似于st股票，没业绩没成长性,软件 类似 st 业绩 成长性,中性,0.0
601360,1766147605,坚持操作的几条铁律（收藏）,牛途策略,08-30 02:27,7607,38,AI_Agent,三六零,AI Agent,坚持操作的几条铁律（收藏）,坚持 操作 几条 铁律 收藏,中性,0.0
